marca,modello,ft,prezzo_min,prezzo_medio,potenza_media_kw,bagagliaio_l,consumo_medio,peso_medio_kg,lunghezza_mm,n_versioni,consumo_stimato,trazione_prevalente,larghezza_mm,altezza_mm
KIA,Stonic,petrol/electric,26250,28500.0,85.0,352.0,5.5,,4165.0,4,True,anteriore,1760.0,1520.0
KIA,XCeed,lpg,30850,30850.0,79.0,380.0,8.5,,4395.0,1,True,anteriore,1826.0,1495.0
KIA,XCeed,petrol,26600,33725.0,110.0,380.0,6.5,,4395.0,4,True,anteriore,1826.0,1495.0
KIA,XCeed,petrol/electric,29600,30725.0,85.0,380.0,5.5,,4395.0,2,True,anteriore,1826.0,1495.0
LAMBORGHINI,Revuelto,petrol/electric,517255,517255.0,747.0,140.0,6.5,,4947.0,1,True,"anteriore, posteriore inseribile",2038.0,1160.0
LAMBORGHINI,Temerario,petrol/electric,317222,317222.0,677.0,,6.5,,4706.0,1,True,"anteriore, posteriore inseribile",1996.0,1201.0
LAMBORGHINI,Urus,petrol,245327,259606.0,490.0,616.0,8.5,,5124.5,2,True,integrale permanente,2022.0,1638.0
LAMBORGHINI,Urus,petrol/electric,270092,270092.0,588.0,454.0,12.6,,5123.0,1,False,integrale permanente,2022.0,1638.0
LAND ROVER,Defender 3p,petrol,101700,138300.0,349.5,297.0,12.8,,4323.0,4,False,integrale permanente,2008.0,1974.0
LAND ROVER,Defender 3p,petrol/electric,68300,86950.0,183.0,297.0,7.6,,4323.0,8,False,integrale permanente,2008.0,1974.0
LAND ROVER,Defender 5p,petrol,105000,132200.0,313.0,786.0,12.8,,5099.0,5,False,integrale permanente,2008.0,1972.0
LAND ROVER,Defender 5p,petrol/electric,72100,101550.0,239.5,786.0,7.6,,4758.0,22,False,integrale permanente,2008.0,1972.0
LAND ROVER,Discovery,petrol/electric,79300,93650.0,258.0,258.0,7.3,,4969.0,8,False,integrale permanente,2000.0,1888.0
LAND ROVER,Discovery Sport,petrol/electric,55500,64150.0,150.0,963.0,6.5,,4597.0,8,True,integrale permanente,1904.0,1727.0
LAND ROVER,Range Rover,petrol/electric,143600,183700.0,338.0,818.0,11.4,,5052.0,51,False,integrale permanente,2047.0,1870.0
LAND ROVER,Range Rover Evoque,petrol/electric,50900,63900.0,150.0,591.0,5.3,,4371.0,15,False,integrale permanente,1996.0,1649.0
LAND ROVER,Range Rover Sport,petrol/electric,95300,123200.0,338.0,835.0,11.4,,4946.0,32,False,integrale permanente,2047.0,1820.0
LAND ROVER,Range Rover Velar,petrol/electric,73800,91600.0,221.0,673.0,5.3,,4797.0,12,False,integrale permanente,1930.0,1685.0
LEXUS,ES,petrol/electric,63500,68000.0,160.0,454.0,4.5,,4975.0,3,False,anteriore,1865.0,1445.0
LEXUS,LBX,petrol/electric,36500,42000.0,100.0,402.0,5.5,,4190.0,9,True,anteriore,1825.0,1545.0
