marca,modello,ft,prezzo_min,prezzo_medio,potenza_media_kw,bagagliaio_l,consumo_medio,peso_medio_kg,lunghezza_mm,n_versioni,consumo_stimato,trazione_prevalente,larghezza_mm,altezza_mm,carrozzeria_prevalente
FIAT,Tipo 4p,diesel,18200,19125.0,96.0,520.0,4.6,,4532.0,2,False,anteriore,1792.0,1497.0,berlina 2/4 porte
FORD,E-Tourneo Courier,electric,35000,35625.0,52.0,,15.0,,4343.0,2,True,posteriore,1813.0,1827.0,monovolume e multispazio
FORD,Focus berlina,diesel,33850,35000.0,85.0,375.0,4.3,,4397.0,5,False,anteriore,1825.0,1515.0,berlina 3/5 porte
FORD,Focus berlina,full_hybrid,30600,31750.0,92.0,375.0,4.3,,4397.0,5,False,anteriore,1825.0,1515.0,berlina 3/5 porte
FORD,Focus station,diesel,34850,36000.0,85.0,608.0,3.8,,4693.0,5,False,anteriore,1825.0,1487.0,station wagon
FORD,Focus station,full_hybrid,31600,32750.0,92.0,608.0,4.1,,4693.0,5,False,anteriore,1825.0,1487.0,station wagon
FORD,Kuga,petrol,36000,41000.0,111.0,435.0,5.5,,4745.0,7,False,anteriore,1882.0,1651.0,Suv/Fuoristrada
FORD,Kuga,full_hybrid,38750,46000.0,134.0,405.0,4.4,,4745.0,17,False,anteriore,1882.0,1651.0,Suv/Fuoristrada
FORD,Puma,full_hybrid,28250,32225.0,92.0,456.0,5.5,,4225.0,10,True,anteriore,1805.0,1550.0,Suv/Fuoristrada
FORD,Puma Gen-E,electric,33250,36475.0,52.0,574.0,15.0,,4225.0,4,True,anteriore,1805.0,1555.0,Suv/Fuoristrada
FORD,Tourneo Connect,diesel,33250,39250.0,90.0,1213.0,5.1,,4676.5,8,False,anteriore,1855.0,1834.0,monovolume e multispazio
FORD,Tourneo Connect,petrol,31750,34125.0,85.0,1213.0,5.9,,4676.5,4,False,anteriore,1855.0,1834.0,monovolume e multispazio
FORD,Tourneo Connect,full_hybrid,41250,43750.0,110.0,1213.0,5.5,,4676.5,6,True,anteriore,1855.0,1834.0,monovolume e multispazio
FORD,Tourneo Courier,petrol,24400,26700.0,92.0,,6.5,,4343.0,4,True,anteriore,1813.0,1827.0,monovolume e multispazio
HONDA,CR-V,full_hybrid,46900,50900.0,135.0,587.0,5.3,,4706.0,5,False,anteriore,1866.0,1674.0,Suv/Fuoristrada
HONDA,Civic,petrol,63900,63900.0,242.0,410.0,8.5,,4594.0,1,True,anteriore,1802.0,1408.0,berlina 3/5 porte
HONDA,Civic,full_hybrid,37500,38500.0,135.0,415.0,3.4,,4560.0,3,False,anteriore,1802.0,1408.0,berlina 3/5 porte
HONDA,HR-V,full_hybrid,34500,37600.0,96.0,327.5,5.5,,4355.0,4,True,anteriore,1790.0,1582.0,Suv/Fuoristrada
HONDA,Jazz,phev,25700,28000.0,90.0,304.0,3.6,,4089.0,4,False,anteriore,1694.0,1526.0,berlina 3/5 porte
HONDA,Prelude,full_hybrid,50900,50900.0,135.0,269.0,3.4,,4525.0,1,False,anteriore,1880.0,1349.0,coupé
HONDA,ZR-V,full_hybrid,42300,43900.0,135.0,390.0,5.3,,4568.0,3,False,anteriore,1840.0,1620.0,Suv/Fuoristrada
HYUNDAI,Bayon,lpg,22850,23675.0,58.0,400.0,6.0,,4180.0,2,False,anteriore,1775.0,1500.0,berlina 3/5 porte
HYUNDAI,Bayon,petrol,21350,24100.0,66.0,411.0,5.5,,4180.0,8,True,anteriore,1775.0,1500.0,berlina 3/5 porte
HYUNDAI,Bayon,full_hybrid,25300,27300.0,74.0,352.0,5.5,,4180.0,3,False,anteriore,1775.0,1500.0,berlina 3/5 porte
HYUNDAI,Inster,electric,26650,27650.0,28.0,280.0,15.0,,3825.0,3,True,anteriore,1610.0,1575.0,berlina 3/5 porte
HYUNDAI,Inster Cross,electric,29900,29900.0,28.0,238.0,15.0,,3845.0,1,True,anteriore,1610.0,1575.0,berlina 3/5 porte
HYUNDAI,Kona,electric,38700,41300.0,50.0,466.0,15.0,,4355.0,5,True,anteriore,1825.0,1580.0,Suv/Fuoristrada
HYUNDAI,Kona,lpg,26950,27650.0,71.0,466.0,7.5,,4350.0,2,True,anteriore,1825.0,1580.0,Suv/Fuoristrada
HYUNDAI,Kona,petrol,26950,31350.0,102.0,466.0,5.5,,4350.0,5,False,anteriore,1825.0,1580.0,Suv/Fuoristrada
HYUNDAI,Kona,full_hybrid,29350,34350.0,95.0,466.0,5.5,,4350.0,5,True,anteriore,1825.0,1580.0,Suv/Fuoristrada
HYUNDAI,Tucson,petrol,34400,36700.0,110.0,620.0,6.5,,4525.0,5,True,anteriore,1865.0,1650.0,Suv/Fuoristrada
HYUNDAI,Tucson,full_hybrid,38500,43500.0,176.0,587.0,6.5,,4525.0,16,True,anteriore,1865.0,1650.0,Suv/Fuoristrada
HYUNDAI,i20,petrol,19900,23750.0,66.0,352.0,5.5,,4065.0,5,True,anteriore,1775.0,1450.0,berlina 3/5 porte
HYUNDAI,i30,petrol,28050,31350.0,85.0,395.0,6.5,,4340.0,9,True,anteriore,1795.0,1455.0,berlina 3/5 porte
HYUNDAI,i30,full_hybrid,30900,32150.0,88.5,395.0,5.5,,4340.0,6,True,anteriore,1795.0,1455.0,berlina 3/5 porte
JEEP,Avenger,electric,39400,40900.0,62.0,355.0,15.0,,4084.0,5,True,anteriore,1748.0,1534.0,Suv/Fuoristrada
